date,time,x,y,z
01/11/2019,9:48:29 AM,604088.3767,10325830.41,-3.75
01/11/2019,9:48:30 AM,604087.1555,10325828.75,-3.79
01/11/2019,9:48:31 AM,604085.9342,10325827.2,-3.76
01/11/2019,9:48:32 AM,604084.7129,10325825.65,-3.78
01/11/2019,9:48:33 AM,604083.3806,10325823.99,-3.87
01/11/2019,9:48:34 AM,604082.0481,10325822.55,-3.89
01/11/2019,9:48:35 AM,604080.6044,10325821.11,-3.76
01/11/2019,9:48:36 AM,604079.3832,10325819.57,-3.74
01/11/2019,9:48:37 AM,604078.2731,10325817.91,-3.8
01/11/2019,9:48:38 AM,604077.0519,10325816.25,-3.85
01/11/2019,9:48:39 AM,604076.053,10325814.59,-3.81
01/11/2019,9:48:40 AM,604075.1654,10325812.82,-3.76
01/11/2019,9:48:41 AM,604074.5001,10325810.94,-3.8
01/11/2019,9:48:42 AM,604073.8348,10325809.06,-3.82
01/11/2019,9:48:43 AM,604073.503,10325807.18,-3.83
01/11/2019,9:48:44 AM,604073.2822,10325805.41,-3.83
01/11/2019,9:48:45 AM,604073.1726,10325803.53,-3.8
01/11/2019,9:48:46 AM,604073.3964,10325801.76,-3.74
01/11/2019,9:48:47 AM,604073.9536,10325799.99,-3.83
01/11/2019,9:48:48 AM,604074.3996,10325798.23,-3.83
01/11/2019,9:48:49 AM,604074.9569,10325796.35,-3.83
01/11/2019,9:48:50 AM,604075.6253,10325794.58,-3.85
01/11/2019,9:48:51 AM,604076.4049,10325792.7,-3.84
01/11/2019,9:48:52 AM,604077.0733,10325790.82,-3.88
01/11/2019,9:48:53 AM,604077.7418,10325788.83,-3.87
01/11/2019,9:48:54 AM,604078.4103,10325786.95,-3.85
01/11/2019,9:48:55 AM,604079.0788,10325784.96,-3.9
01/11/2019,9:48:56 AM,604079.6362,10325782.98,-3.96
01/11/2019,9:48:57 AM,604080.1936,10325780.99,-3.94
01/11/2019,9:48:58 AM,604080.6398,10325779,-3.92
01/11/2019,9:48:59 AM,604081.0861,10325777.01,-3.91
01/11/2019,9:49:00 AM,604081.4213,10325774.91,-3.96
01/11/2019,9:49:01 AM,604081.6453,10325772.81,-3.93
01/11/2019,9:49:02 AM,604081.8693,10325770.82,-3.9
01/11/2019,9:49:03 AM,604082.2045,10325768.72,-4.01
01/11/2019,9:49:04 AM,604082.2062,10325766.73,-4.07
01/11/2019,9:49:05 AM,604082.0968,10325764.63,-4
01/11/2019,9:49:06 AM,604081.9873,10325762.64,-3.98
01/11/2019,9:49:07 AM,604081.8779,10325760.54,-3.97
01/11/2019,9:49:08 AM,604081.6574,10325758.44,-3.96
01/11/2019,9:49:09 AM,604081.548,10325756.33,-4
01/11/2019,9:49:10 AM,604081.3274,10325754.34,-3.96
01/11/2019,9:49:11 AM,604081.1069,10325752.24,-3.97
01/11/2019,9:49:12 AM,604080.9975,10325750.14,-3.99
01/11/2019,9:49:13 AM,604080.7769,10325748.15,-4.01
01/11/2019,9:49:14 AM,604080.5564,10325746.05,-4.01
01/11/2019,9:49:15 AM,604080.2247,10325743.95,-3.99
01/11/2019,9:49:16 AM,604080.1152,10325741.96,-3.97
01/11/2019,9:49:17 AM,604080.0059,10325739.86,-3.99
01/11/2019,9:49:18 AM,604080.0076,10325737.76,-3.98
01/11/2019,9:49:19 AM,604080.1205,10325735.66,-3.97
01/11/2019,9:49:20 AM,604080.2335,10325733.56,-3.99
01/11/2019,9:49:21 AM,604080.4575,10325731.46,-3.99
01/11/2019,9:49:22 AM,604080.6815,10325729.47,-4.01
